BEDS,BATHS,NEIGHBORHOOD,LOT_SIZE,YEAR_BUILT,PARKING_TYPE,LAST_SALE_DATE,LAST_SALE_PRICE,Finished_Sq_Ft,Unfinished_Sq_Ft,AvgSchoolRating,MaxSchoolRating,MinSchoolRating,ORIGINAL_LIST_PRICE,ZIP, ElemRate,MidSchoolRate,HighSchoolRate,Total Sq ft,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,RedFinID,SALE TYPE,ADDRESS,CITY,STATE,SQFT,LIST PRICE,PARKING_SPOTS,ConstructionQuality
1,1,Fremont,6697,1930,,10/6/2015,410000,950,,9,10,7,399900,98103,7,10,10,950,Sold,http://www.redfin.com/WA/Seattle/3835-Fremont-Ave-N-98103/unit-3/home/35698,Northwest Multiple Listing Service (NWMLS),846327,Windermere R.E.N.W. Madison,N,Y,47.6537232,-122.350317,35698,Past Sale,3835 Fremont Ave N #3,Seattle,WA,950,399900,1,
0,1,Magnolia,446,1988,Garage,4/22/2016,229000,446,,10,10,10,229900,98199,10,10,10,446,Sold,http://www.redfin.com/WA/Seattle/2200-Thorndyke-Ave-W-98199/unit-406/home/45789,Northwest Multiple Listing Service (NWMLS),913143,Realogics Sotheby's Int'l Rlty,N,Y,47.638621,-122.387348,45789,Past Sale,2200 Thorndyke Ave W #406,Seattle,WA,446,229900,1,
3,1,Richmond Beach,6500,1953,,2/24/2016,370000,1080,,7.666666667,9,7,364950,98133,9,7,7,1080,Sold,http://www.redfin.com/WA/Shoreline/103-N-184th-St-98133/home/75677,Northwest Multiple Listing Service (NWMLS),885634,Windermere Real Estate Co.,N,Y,47.762412,-122.358282,75677,Past Sale,103 N 184th St,Shoreline,WA,1400,364950,1,
4,2,Richmond Beach,7200,1957,Garage,10/14/2015,436000,1610,,7.666666667,9,7,425000,98133,9,7,7,1610,Sold,http://www.redfin.com/WA/Shoreline/150-N-175th-St-98133/home/75751,Northwest Multiple Listing Service (NWMLS),845547,Windermere Real Estate Co.,N,Y,47.756183,-122.356228,75751,Past Sale,150 N 175th St,Shoreline,WA,1610,425000,1,
4,2.75,Shoreline,14000,1961,Garage,8/7/2015,415000,1270,1250,7.666666667,9,7,427500,98133,9,7,7,2520,Sold,http://www.redfin.com/WA/Shoreline/217-N-168th-St-98133/home/75936,Northwest Multiple Listing Service (NWMLS),790909,"Windermere R.E. Northeast, Inc",N,Y,47.75069,-122.35587,75936,Past Sale,217 N 168th,Shoreline,WA,2520,427500,2,
3,1.75,Richmond Highlands,7200,1959,Garage,5/13/2016,505000,1830,550,7.666666667,9,7,490000,98133,9,7,7,2380,Sold,http://www.redfin.com/WA/Shoreline/108-N-175th-St-98133/home/75973,Northwest Multiple Listing Service (NWMLS),913513,Coldwell Banker Danforth,N,Y,47.756187,-122.357983,75973,Past Sale,108 N 175th St,Shoreline,WA,2048,490000,2,
3,1.5,Richmond Highlands,13264,1955,Garage,7/20/2015,550000,1600,220,7.666666667,9,7,475000,98133,9,7,7,1820,Sold,http://www.redfin.com/WA/Shoreline/102-N-171st-St-98133/home/76002,Northwest Multiple Listing Service (NWMLS),805528,Windermere Real Estate/HLC,N,Y,47.753528,-122.357692,76002,Past Sale,102 N 171 St,Shoreline,WA,2140,475000,1,
3,1,,,1953,,11/18/2015,385000,1270,,7.666666667,9,7,,98133,9,7,7,1270,,http://www.redfin.com/WA/Shoreline/115-N-183rd-St-98133/home/76021,,,,N,Y,47.761698,-122.357694,76021,Past Sale,115 N 183rd St,Shoreline,WA,1270,,,
3,1,Richmond Highlands,8645,1953,,7/13/2015,365000,1080,,7.666666667,9,7,350000,98133,9,7,7,1080,Sold,http://www.redfin.com/WA/Shoreline/18118-Palatine-Ave-N-98133/home/76085,Northwest Multiple Listing Service (NWMLS),805914,Windermere R.E. Wall St. Inc.,N,Y,47.761107,-122.356114,76085,Past Sale,18118 Palatine Ave N,Shoreline,WA,1080,350000,1,
3,1.75,Shoreline,14850,1915,,8/7/2015,399000,1700,580,7.666666667,9,7,399900,98133,9,7,7,2280,Sold,http://www.redfin.com/WA/Shoreline/17217-Dayton-Ave-N-98133/home/76107,Northwest Multiple Listing Service (NWMLS),797500,Home Destination Real Estate,N,Y,47.75463,-122.353499,76107,Past Sale,17217 Dayton Ave N,Shoreline,WA,2280,399900,1,
